,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
5456,1890.08.09,1890-08-09,UNPROVOKED,TREADING FOR CLAMS,USA,Connecticut,"Bridgeport, Fairfield County",M,,Severe lacerations to left arm.,N,,,537
5457,1890.08.08,1890-08-08,UNPROVOKED,BATHING,SAMOA,Upolu Island,Apia Harbour,M,,Both legs severed,N,,,536
5458,1890.06.26,1890-06-26,UNPROVOKED,SWIMMING,CROATIA,,Fiume,M,,Legs severed ,N,,,535
5459,1890.06.14.R,1890-06-14,UNPROVOKED,FELL OVERBOARD,PERSIAN GULF,,,M,,Severe lacerations to foot,N,,,534
5460,1890.06.02.R,1890-06-02,UNPROVOKED,SWIMMING,EGYPT,,Port Said,M,,FATAL,Y,,,533
5461,1890.05.14,1890-05-14,INVALID,,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,M,,"Forensic evidence indicated death resulted from drowning, his body was subsequently scavenged by a shark",#VALUE!,,,532
5462,1890.02.25,1890-02-25,BOATING,"FISHING BOAT WITH 4 MEN ON BOARD WAS RAMMED & CAPSIZED BY  A SHARK, THROWING ALL OCCUPANTS INTO THE WATER",MALTA,Munxar Reef,Marsascala,M,,"FATAL, 2 men were lost, presumed taken by the shark",Y,,,531
5463,1890.00.00.e,,UNPROVOKED,WADING,AUSTRALIA,Tasmania,Derwent River (empties into the sea at Hobart),M,,Knee bitten,N,,"SEVENGILL SHARK, 14', WAS CAUGHT IN THE VICINITY",530
5464,1890.00.00.d,,UNPROVOKED,DIVING,INDIA,Tamil Nadu,Tuticorin,M,,No details,UNKNOWN,,,529
5465,1890.00.00.c,,UNPROVOKED,DIVING,INDIA,Tamil Nadu,Tuticorin,M,,No details,UNKNOWN,,,528
5466,1890.00.00.b,,UNPROVOKED,SWIMMING,NEW ZEALAND,North Island,"Lampton Harbour, Wellington",M,,FATAL,Y,,,527
5467,1890.00.00.a,,UNPROVOKED,BATHING,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,M,,"FATAL, leg bitten, foot partly severed ",Y,15h30,,526
5468,1889.11.29.R,1889-11-29,INVALID,,GREECE,Northern Peloponnese,Patras,,,"Human remains found in 4m, 900 kg shark",,,,525
5469,1889.11.22,1889-11-22,UNPROVOKED,FELL INTO THE WATER,AUSTRALIA,Queensland,Bowen,M,,FATAL,Y,,,524
5470,1889.11.16,1889-11-16,INVALID,PARACHUTED FROM BALLOON,USA,Hawaii,Honolulu,M,,Speculated that he was taken by a shark but most likely drowned,Y,,,523
5471,1889.10.03.R,1889-10-03,UNPROVOKED,SWIMMING,INDIA,Tamil Nadu,Madras,M,,FATAL,Y,,,522
5472,1889.07.21,1889-07-21,UNPROVOKED,SWIMMING,USA,Florida,"Fernandina, Nassau County",M,,"FATAL, calf bitten",Y,,,521
5473,1889.07.19,1889-07-19,UNPROVOKED,FISHING,USA,Texas,West Bay near Galveston ,M,,Leg bitten,N,07h30,18' SHARK,520
5474,1889.07.08,1889-07-08,UNPROVOKED,FELL INTO THE WATER,AUSTRALIA,Victoria,Port Phillip,M,,FATAL ,Y,,,519
5475,1889.01.31.R,1889-01-31,PROVOKED,FISHING,USA,Florida,Hillsborough Bay,,,No injury to occupants. Gaffed shark capsized boat PROVOKED INCIDENT,N,,,518
5476,1889.01.00,1889-01-01,UNPROVOKED,CLEANING THE SIDE OF A SHIP,SIERRA LEONE,Western Area,Freetown,M,,FATAL,Y,,,517
5477,1888.12.25.R,1888-12-25,UNPROVOKED,SWIMMING,INDIAN OCEAN,Between Perth & Colombo,,M,,Foot severed,N,,,516
5478,1888.12.09,1888-12-09,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,"Iron Cove Bridge, Sydney (Estuary)",M,11.0,FATAL,Y,13h00,,515
5479,1888.12.00,1888-12-01,UNPROVOKED,WORKING ON THE BRIDGE WHEN HE FELL INTO THE RIVER,AUSTRALIA,New South Wales,"Hawkesbury Bridge, Sydney",M,,FATAL,Y,,,514
5480,1888.10.23.R,1888-10-23,UNPROVOKED,,CROATIA, Primorje-Gorski Kotar County,Rijeka,,,Human remains found in shark,Y,,5 MM 3500 KG FEMALE SHARK,513
5481,1888.08.14,1888-08-14,SEA DISASTER,THE STEAMSHIPS THINGVALLA AND GEISER COLLIDED,CANADA,Nova Scotia,Off Sable Island,M,,FATAL,Y,Before daybreak,,512
5482,1888.08.01.R,1888-08-01,BOATING,SAILING,USA,New York,,,,No injury to occupants. Shark beat away with oar,N,,,511
5483,1888.07.20.R,1888-07-20,INVALID,PROBABABLE DROWNING,JAMAICA,,,M,,Human remains recovered from a 10' to 12' shark caught in a turtle net,Y,,,510
5484,1888.07.13.R,1888-07-13,SEA DISASTER,THE DWARKA FOUNDERED,INDIA,Gujarat,Cutch Coast,M,,"FATAL, only 1 of her crew of 7 survived",Y,,,509
5485,1888.07.04,1888-07-04,INVALID,,CROATIA,Lukovo,,,,Human remains & clothing found in 7' shark,Y,,,508
5486,1888.06.24,1888-06-24,BOATING,FISHING,AUSTRALIA,Victoria,Port Melbourne,,,"No injury to occupants, shark holed boat",N,Evening,,507
5487,1888.06.18.R,1888-06-18,INVALID,THE CUTTER YACHT CUTTY SARK SANK,AUSTRALIA,Victoria,"Point Cook, Port Phillip Bay",M,,Probable drowning & scavenging,Y,,,506
5488,1888.02.17,1888-02-17,UNPROVOKED,FLOATING ON HIS BACK,NEW ZEALAND,South Island,Oamaru,M,,"Arm severely lacerated, surgically amputated",N,06h00,"UNKNOWN, BUT THE SHARK WAS CAUGHT AND PUT ON EXHIBITION",505
5489,1888.02.00,1888-02-01,UNPROVOKED,CROSSING THE RIVER MOUTH,SOUTH AFRICA,Eastern Cape Province,Mzimvubu River mouth,M,,FATAL,Y,,,504
5490,1888.01.22,1888-01-22,BOATING,ROWING,AUSTRALIA,New South Wales,Sydney Harbor,M,,"Shark bit boat, but no injury to occupant who swam ashore",N,,,503
5491,1888.00.00,,UNPROVOKED,SPONGE DIVING,LIBYA,Mediterranean Sea,Off Tripoli,M,,Lacerations to thorax and hands,N,,,502
5492,1887.12.22.R,1887-12-22,UNPROVOKED,FELL OVEBOARD FROM STEAMER WANDERER,HONDURAS,Cortés,Off Puerto Cortez (Caribbean coast),M,33.0,FATAL,Y,,,501
5493,1887.12.04,1887-12-04,UNPROVOKED,,AUSTRALIA,New South Wales,"Ryde, Sydney (Estuary)",M,,FATAL,Y,11h30,12' TO 14' SHARK,500
5494,1887.10.18,1887-10-18,UNPROVOKED,"CROSSING INLET IN A BOAT, SEEN FIGHTING SHARKS WITH HIS OAR, SHARKS SMASHED BOAT",USA,Florida,"Between Lake Worth & Biscayne Bay, near Hillsboro",M,,FATAL,Y,,,499
5495,1887.10.00,1887-10-01,SEA DISASTER,"SEA DISASTER, WRECK OF THE ALFRED WATTS",BAHAMAS,,,M,,FATAL,Y,,,498
5496,1887.09.22,1887-09-22,UNPROVOKED,SWIMMING,ITALY,,Trieste,M,,Leg injured,N,,,497
5497,1887.09.06,1887-09-06,INVALID,,CROATIA, Primorje-Gorski Kotar County,Kraljevica,,,Shoes & human remains found in a shark,Y,,,496
5498,1887.03.12,1887-03-12,BOATING,ROWING A DINGHY,AUSTRALIA,South Australia,Black Point,,,No injury to occupants,N,,13' SHARK,495
5499,1887.02.08.R,1887-02-08,UNPROVOKED,SWIMMING,NEW ZEALAND,North Island,Kaipara,M,,FATAL,Y,,,494
5500,1887.02.08,1887-02-08,PROVOKED,,SOUTH AFRICA,Western Cape Province,Blaauwberg,,,"Harpooned shark, bit boat, causing it to ship water. Boat reached shore in sinking condition PROVOKED INCIDENT",N,,4.7 M [15.5'] SHARK,493
5501,1887.01.20,1887-01-20,SEA DISASTER,THE PASSENGER SHIP KAPUNA WAS RUN DOWN THE ORE CARRIER ADA MELMORE,BRAZIL,Alagoas,Maceió,M,,FATAL,Y,03h00,,492
5502,1887.01.12,1887-01-12,UNPROVOKED,SWIMMING,SOUTH AFRICA,Eastern Cape Province,"Mzimvubu River, 9.6 km from the sea",M,13.0,"FATAL, flesh removed hip to knee, calf & heel bitten ",Y,12h00,,491
5503,1887.00.00,,SEA DISASTER,BRITISH SHIP MACEDON WAS THROWN ON HER BEAM ENDS BY A SUDDEN SQUALL,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",,M,,Foot severed,N,,,490
5504,1886.08.00.c,1886-08-01,BOATING,,USA, New Jersey,"Shrewsbury River, Highlands, Monmouth County",M,,"Shark attacked boat, shark killed & towed to shore",N,,SHARK WAS SAID TO “HAVE A VERY ROUGH ½”-THICK SKIN”,489
5505,1886.08.00.b,1886-08-01,PROVOKED,"NETTING MENHADEN, SHARKS CAUGHT IN NET",USA,New Jersey,"Sandy Hook Bay, Highlands, Monmouth County",,,"No injury, sharks ripped net & bit boat PROVOKED INCIDENT",N,,,488
5506,1886.08.00.a,1886-08-01,BOATING,CLAMMING,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",M,,"No injury. They were chased by three sharks, one of which rammed their boat",N,,3 M [10'] SHARKS,487
5507,1886.06.17,1886-06-17,UNPROVOKED,SWIMMING AFTER BEING WASHED OVERBOARD,AUSTRALIA,Queensland,Off Bribie Heads,M,18.0,FATAL,Y,,,486
5508,1886.06.02,1886-06-02,INVALID,"FISHING FROM SHORE, WASHED INTO THE SEA",USA,Hawaii,"Hamakua Homakua, Hawai'i",F,,"The body of one woman had been bitten by a shark but it is not known if she was alive at the time, the other woman disappeared",Y,,,485
5509,1886.05.06,1886-05-06,UNPROVOKED,BATHING,NEW CALEDONIA,South Province,Noumea,M,,FATAL,Y,12h00,,484
5510,1886.04.26,1886-04-26,UNPROVOKED,OYSTERING,AUSTRALIA,Queensland,Rothesay Bay,M,,Wrist bitten,N,,,483
5511,1886.04.11,1886-04-11,INVALID,SEA DISASTER : WRECK OF THE TAIAROA,NEW ZEALAND,South Island,Near the mouth of the Clarence River,M,,Probable drowning & scavenging,Y,,,482
5512,1886.03.06.R,1886-03-06,INVALID,BATHING,NEW ZEALAND,South Island,Dunedin ,M,,Left leg severed. Probably confusion with GSAF 1886.01.28,N,,,481
5513,1886.03.00,1886-03-01,INVALID,HE DROWNED WHEN BOAT CAPSIZED,AUSTRALIA,New South Wales,"Dobroyd Head, Watson Bay, Sydney",M,,His body was found in a tiger shark; next day other human remains found in sharks at Berry's Bay ,Y,,,480
5514,1886.02.13.R,1886-02-13,BOATING,FISHING,AUSTRALIA,Victoria,Mordialloc,M,,"No injury to occupants, shark shook boat ""stem to stern""",N,,,479
5515,1886.01.28,1886-01-28,UNPROVOKED,DIVING OFF JETTY,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",M,,"Chest & buttocks bitten, left leg severed at knee",N,07h00,,478
5516,1886.01.26,1886-01-26,UNPROVOKED,DIVING ALONGSIDETHE STEAMSHIP RANELAGH,AUSTRALIA,Queensland,,M,,Foot bitten,N,,,477
5517,1886.01.01,1886-01-01,UNPROVOKED,SWIMMING,SOUTH AFRICA,Western Cape Province,Groot River,M,,"FATAL. He threw up his hands, shrieked and disappeared. Partial remains washed ashore the next day",Y,,,476
5518,1886.00.00,,UNPROVOKED,SAILING,AUSTRALIA,New South Wales,Sydney Harbor,M,,Leg severed,N,Afternoon,,475
5519,1885.11.26.R,1885-11-26,BOATING,,AUSTRALIA,Queensland,Brisbane ,,,"No injury to occupant, shark bit off section of the boat's rudder",N,,15' SHARK,474
5520,1885.11.26,1885-11-26,UNPROVOKED,BATHING,AUSTRALIA,Western Australia,Bunbury,M,,Laceration to calf,N,Evening,,473
5521,1885.08.17,1885-08-17,UNPROVOKED,FELL OR JUMPED OVERBOARD FROM THE LINER RHYNLAND,ATLANTIC OCEAN,,,M,,FATAL,Y,,,472
5522,1885.07.26.c,1885-07-26,SEA DISASTER,WRECK OF THE SCHOONER POHOIKI,USA,Hawaii,Kau District,M,,Left arm severed,N,,,471
5523,1885.07.26.b,1885-07-26,SEA DISASTER,WRECK OF THE SCHOONER POHOIKI,USA,Hawaii,Kau District,M,,Laceration to torso,N,,,470
5524,1885.07.26.a,1885-07-26,SEA DISASTER,WRECK OF THE SCHOONER POHOIKI,USA,Hawaii,Kau District,M,,FATAL,Y,,,469
5525,1885.04.16.R,1885-04-16,UNPROVOKED,SWIMMING,,,,M,,FATAL,Y,,,468
5526,1885.04.09,1885-04-09,UNPROVOKED,BATHING,NEW ZEALAND,North Island,Auckland,M,,Lacerations to lower leg,N,,,467
5527,1885.03.28,1885-03-28,UNPROVOKED,FISHING,SOUTH AFRICA,KwaZulu-Natal,Kokstad District,M,,"No injury to occupant, rammed oar in shark's mouth and it bit the oar ",N,,3 M [10'] SHARK,466
5528,1884.12.13,1884-12-13,SEA DISASTER,YACHTING ACCIDENT,AUSTRALIA,South Australia,Port Phillip,M,,"Cause of death most likely drowning, remains recovered in shark",Y,,14' SHARK,465
5529,1884.12.08.R,1884-12-08,PROVOKED,,FRANCE,Côte d'Azur  ,Between Nice & Villefranche,F,,FATAL            Leg severed by harpooned shark PROVOKED INCIDENT,Y,02h00,10' SHARK,464
5530,1884.08.28.R.,1884-08-28,UNPROVOKED,BOATING,USA,New Jersey,"Bayonne, Hudson County",M,,Hand bitten,N,,,463
5531,1884.08.18,1884-08-18,INVALID,CLAMMING,USA,New York,Jamaica Bay,M,,Unclear if he sustained any injury from the shark,N,,7' SHARK,462
5532,1884.01.16,1884-01-16,UNPROVOKED,SWIMMING,SOUTH AFRICA,Eastern Cape Province,"South Jetty, Port Elizabeth",M,,FATAL,Y,,,461
5533,1884.01.14,1884-01-14,UNPROVOKED,FELL OVERBOARD,AUSTRALIA,South Australia,"Port Pirie, Spencer Gulf, 230 km north of Adelaide",F,,FATAL,Y,,SAID TO INVOLVE 2 SHARKS,460
5534,1883.12.19,1883-12-19,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,Parramatta River,M,21.0,FATAL,Y,12h00,,459
5535,1883.09.14.R,1883-09-14,UNPROVOKED,SWIMMING / ESCAPING IMPRISONMENT,AUSTRALIA,Tasmania,Between Port Arthur Penal Colony & Forestier Peninsula,M,,FATAL,Y,,,458
5536,1883.07.05,1883-07-05,PROVOKED,FISHING FOR SHARKS,GEORGIA,,"Savannah River, Chatham County",M,,Leg injured by hooked shark PROVOKED INCIDENT,N,,7' SHARK,457
5537,1883.02.26.R,1883-02-26,UNPROVOKED,DIVING,AUSTRALIA,Northern Territory,the pearling beds,M,,Arm severed,N,,,456
5538,1883.02.25.R,1883-02-25,UNPROVOKED,DIVING,AUSTRALIA,Northern Territory,the pearling beds,M,,FATAL,Y,,,455
5539,1883.01.21,1883-01-21,UNPROVOKED,BATHING,AUSTRALIA,New South Wales,"Iron Cove, Sydney",M,37.0,FATAL,Y,05h30,,454
5540,1883.00.00.d,,UNPROVOKED,FISHING,PACIFIC OCEAN,,,M,,"FATAL, remains recovered from 2 sharks",Y,,14' SHARK,453
5541,1883.00.00.c,,UNPROVOKED,FELL OVERBOARD,USA,Florida,"Fort Pickens, Escambia County",M,,FATAL,Y,,,452
5542,1883.00.00.b,,INVALID,,USA,South Carolina,"Bull’s Bay, near Charleston",M,,"Body found with arm severed by shark, but shark involvement prior to death was uncomfirmed",Y,,,451
5543,1883.00.00.a,,UNPROVOKED,,USA,South Carolina,,M,,FATAL,Y,,A SCHOOL OF SHARKS,450
5544,1882.12.03,1882-12-03,PROVOKED,RESTRAINING A BEACHED SHARK,NEW ZEALAND,South Island,New Brighton,M,,Hand severely nipped PROVOKED INCIDENT ,N,,4' TO 5' SHARK,449
5545,1882.11.12.b,1882-11-12,UNPROVOKED,BATHING,NEW ZEALAND,North Island,"Tararu, Thames",M,,Sole of foot bitten,N,Morning,,448
5546,1882.11.12.a,1882-11-12,UNPROVOKED,BATHING,NEW ZEALAND,North Island,"Tararu, Thames",M,,Lacerations to thigh,N,Morning,,447
5547,1882.09.00,1882-09-01,UNPROVOKED,CLINGING TO SHIPWRECKED JUNK,JAPAN,,,M,,Lacerations to elbows &  knees,N,,,446
5548,1882.05.14,1882-05-14,UNPROVOKED,FELL OVERBOARD,AUSTRALIA,New South Wales,Millers Point,M,,Laceration to calf,N,Afternoon,,445
5549,1882.05.12.R,1882-05-12,UNPROVOKED,PEARL DIVING,AUSTRALIA,,,M,,FATAL      Torso bitten,Y,,,444
5550,1882.04.15,1882-04-15,UNPROVOKED,FISHING,AUSTRALIA,New South Wales,Lake Macquarie,M,,FATAL,Y,,,443
5551,1882.02.07.R,1882-02-07,UNPROVOKED,PEARL DIVING,AUSTRALIA,,,M,,FATAL                       Thigh bitten,Y,,,442
5552,1882.01.23.R,1882-01-23,UNPROVOKED,BATHING,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",M,,FATAL,Y,,,441
5553,1882.00.00.b,,UNPROVOKED,"DURING ""AN EXHIBITION"" HE WAS TIED IN SACK & THROWN OVERBOARD",USA,Florida,"In the bay near the naval yard at Pensacola, Escambia County",M,,"No injury, sack rammed by shark & shark  harassed him when he surfaced",N,,,440
5554,1882.00.00.a,,UNPROVOKED,,AUSTRALIA,Queensland,Maryborough,M,,Survived,N,,,439
5555,1881.11.13,1881-11-13,INVALID,SWIMMING,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",M,,Shark involvement suspected but not confirmed,N,Evening,,438
5556,1881.10.16,1881-10-16,INVALID,BATHING,USA,Florida,"Pensacola Bay, Escambia County",M,18.0,Shark involvement prior to death unconfirmed,Y,,,437
5557,1881.09.05,1881-09-05,UNPROVOKED,BATHING,USA,North Carolina,"Elizabeth City, Pasquotank County  ",M,,"FATAL, possible post-mortem bites",Y,A.M.,,436
5558,1881.08.16.R,1881-08-16,UNPROVOKED,"FLOATING, HOLDING ONTO AN OAR AFTER DORY CAPSIZED",,Western Banks,,M,20.0,FATAL,Y,,,435
5559,1881.08.12,1881-08-12,UNPROVOKED,SWIMMING,USA,Rhode Island,Providence,M,,"No injury, overalls ripped by shark",N,,,434
5560,1881.06.25,1881-06-25,UNPROVOKED,BATHING,,,Santa Cruz,M,,Survived,N,,,433
5561,1881.06.13,1881-06-13,UNPROVOKED,FELL OVERBOARD,USA,Alabama,Mobile Bay,M,23.0,FATAL,Y,,,432
5562,1881.00.00.b,,UNPROVOKED,,INDIA,,"At Panihattu, Barrackpore, Dackhineshwar, Barahonagore, Kashipur & Chitpur down to Baug Bazar ghats",,,"""More than 20 persons severely bitten by sharks this year. Almost all were fatal""",Y,,,431
5563,1881.00.00.a,,BOATING,FISHING ON A BOAT,ITALY,Sicily,Stretto di Messina,M,,Non-Fatal,N,,WHITE SHARKS,430
5564,1880.11.25,1880-11-25,UNPROVOKED,SWIMMING,AUSTRALIA,Queensland,"Petrie Bight, Brisbane River",M,12.0,"Feet bitten, surgically amputated FATAL",Y,Afternoon,BULL SHARK,429
5565,1880.10.10,1880-10-10,SEA DISASTER,TRAVELING BY BOAT,AUSTRALIA,New South Wales,Bermagui,M,,"Disappeared, thought to have murdered or drowned or  taken by a sharks after entrails washed ashore",Y,,,428
5566,1880.08.08,1880-08-08,UNPROVOKED,SWIMMING TO RETRIEVE A FLANNEL,MOZAMBIQUE,,,M,,Legs severed FATAL,Y,11h45,,427
5567,1880.07.25,1880-07-25,BOATING,SAILING,USA,New York,The Narrows,M,,"Shark bit stern, no injury to occupant",N,15h00,10' SHARK,426
5568,1880.05.15,1880-05-15,UNPROVOKED,,INDIA,West Bengal,Ganges River,M,20.0,"Left hand severed, arm & right calf injured",N,11h00,,425
5569,1880.05.14,1880-05-14,UNPROVOKED,BATHING IN RIVER,INDIA,West Bengal,Hoogly River,F,60.0,"Hands, forearm & left thigh lacerated, radial artery severed",N,,,424
5570,1880.05.07.R,1880-05-07,INVALID,,MEXICO,Guerro,Acapulco,M,,"Human remains recovered from a 15' shark, probable scavenging",Y,,,423
5571,1880.05.02.b,1880-05-02,UNPROVOKED,BATHING IN RIVER,INDIA,West Bengal,(Calcutta?),M,,"FATAL, left forearm & hand bitten, brachial artery severed, died of secondary hemorrhage 11 days later ",Y,12h00,,422
5572,1880.05.02.a,1880-05-02,UNPROVOKED,BATHING,INDIA,West Bengal,"Panihati, 4 miles south of Barrackpore on the Hoogly River",M,11.0,"FATAL, right leg severed at mid-thigh, femur severed ",Y,10h00,,421
5573,1880.01.22,1880-01-22,BOATING,FISHING,AUSTRALIA,New South Wales,"Chowder Bay, Sydney",,,"No injury to occupants, shark rammed boat",N,13h00,12' SHARK,420
5574,1880.01.03,1880-01-03,UNPROVOKED,BATHING,AUSTRALIA,New South Wales,Cooranbong,F,13.0,Lacerations to leg,N,,,419
5575,1880.00.00.e,,INVALID,DIVING FOR SPONGES,SYRIA,,,M,,FATAL but shark involvement in death unconfirmed,Y,,,418
5576,1880.00.00.d,,INVALID,,USA,Florida,"Hutchinson Island, Martin County",M,,"Drowned, body scavenged by shark",Y,,,417
5577,1880.00.00.c,,UNPROVOKED,,SOLOMON ISLANDS,Guadalcanal Province,Guadalcanal,M,,"Arm & leg severed, survived ",N,,,416
5578,1880.00.00.a,,UNPROVOKED,,NEW ZEALAND,South Island,Campbell’s Point,M,,Recovered,N,,,415
5579,1879.12.24,1879-12-24,UNPROVOKED,SWIMMING,INDIA,Andaman Islands,Port Blair,M,23.0,FATAL,Y,,3 SHARKS,414
5580,1879.11.10,1879-11-10,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,Clarence Heads,M,,Thigh bitten,N,,,413
5581,1879.09.22,1879-09-22,PROVOKED,FISHING,SPAIN,Valencia,Castellon de la Plana,,,"No injuries to occupants, Hooked shark bit boat  PROVOKED INCIDENT",N,,2.5 M SHARK,412
5582,1879.08.30.R,1879-08-30,SEA DISASTER,,FIJI,Lau Group,Totoya  ,M,,"Severely bitten on heel, 20 others taken by sharks",N,,,411
5583,1879.07.03,1879-07-03,UNPROVOKED,BATHING,USA,California,"Los Angeles, Los Angeles County",M,,No details,N,,,410
5584,1879.03.19,1879-03-19,UNPROVOKED,STANDING,NEW ZEALAND,North Island,Napier,M,19.0,FATAL,Y,,,409
5585,1879.03.10,1879-03-10,INVALID,THE STEAMSHIP BONNIE DUNDEE LOST IN COLLISION,AUSTRALIA,New South Wales,Near Sydney ,M,,Partial  remains found in shark,Y,,,408
5586,1879.00.00,,UNPROVOKED,FLOATING WITH LIFE BUOY AFTER PILOT LAUNCH CAPSIZED,USA,Mississippi,River mouth,M,,FATAL,Y,,TIGER SHARK,407
5587,1878.11.17,1878-11-17,UNPROVOKED,BATHING,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor ",M,,Laceration to leg,N,,A SMALL SHARK,406
5588,1878.10.24.R,1878-10-24,UNPROVOKED,SWIMMING,INDONESIA,East Java,Probolinggo,M,,FATAL,Y,,15' SHARK,405
5589,1878.10.13,1878-10-13,UNPROVOKED,JUMPED OVERBOARD AFTER MURDERING 2 SHIPMATES,,,,M,,FATAL,Y,,,404
5590,1878.09.14.R,1878-09-14,PROVOKED,FISHING,USA,Connecticut,"Branford, New Haven County",M,,Leg bitten by netted shark PROVOKED INCIDENT,N,,,403
5591,1878.09.02.b,1878-09-02,SEA DISASTER,BOAT WITH 5 MEN CAPSIZED WHILE RETURNING TO THE AMERIQUE,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,M,, Du Val's leg was bitten but he survived,N,,,402
5592,1878.09.02.a,1878-09-02,SEA DISASTER,BOAT WITH 5 MEN CAPSIZED WHILE RETURNING TO THE AMERIQUE,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,M,,"FATAL, 2 of the crew were killed by sharks",Y,,,401
5593,1878.08.09,1878-08-09,UNPROVOKED,SWIMMING,USA,New York,East River,M,,FATAL?,Y,Afternoon,8' SHARK,400
5594,1878.08.08,1878-08-08,UNPROVOKED,SWIMMING,USA,New York,Brooklyn,M,14.0,FATAL,Y,Afternoon,,399
5595,1878.06.10,1878-06-10,UNPROVOKED,,PHILIPPINES,Misamis Oriental,Cagayan de Oro,F,,FATAL,Y,,,398
5596,1878.03.30.R,1878-03-30,UNPROVOKED,,NEW GUINEA,,,M,,"""Fearfully injured""",N,,,397
5597,1878.02.13,1878-02-13,SEA DISASTER,WRECK OF THE UNION STEAMSHIP COMPANY 982-TON IRON STEAMER KAFIR,SOUTH AFRICA,Western Cape Province,Olifantbos Point,M,,"FATAL, shark removed large part of his hip",Y,,,396
5598,1878.00.00,,UNPROVOKED,BATHING IN 2 FEET OF WATER,AUSTRALIA,New South Wales,"Balmain, Sydney (Estuary)",M,11.0,"FATAL, leg severed ",Y,,,395
5599,1877.12.15.R,1877-12-15,SEA DISASTER,,FIJI,,,,,FATAL,Y,,,394
5600,1877.12.15,1877-12-15,UNPROVOKED,BATHING,AUSTRALIA,New South Wales,"Peacock Point, Balmain, Sydney",M,11.0,Leg severely bitten & later surgically amputated,N,,,393
5601,1877.12.12,1877-12-12,UNPROVOKED,WASHED OVERBOARD FROM THE BARQUE MARY EADY,AUSTRALIA,New South Wales,Near Sydney,M,,FATAL,Y,,,392
5602,1877.09.15,1877-09-15,UNPROVOKED,FISHING,AUSTRALIA,New South Wales,Port Jackson,M,,"No injury, pulled overboard by a shark that grabbed his coat",N,Afternoon,13' SHARK,391
5603,1877.08.28.R,1877-08-28,INVALID,,INDIAN OCEAN,,,M,,Partial human remains found in 13' shark,Y,,,390
5604,1877.04.07,1877-04-07,PROVOKED,,AUSTRALIA,Tasmania,Smelting Works Bay near Hobart,M,,Fingers injured by landed shark PROVOKED INCIDENT,N,,7-GILL SHARK,389
5605,1877.04.04.,1877-04-04,UNPROVOKED,BATHING,AUSTRALIA,Victoria,Portarlington,M,,Thigh & foot bitten,N,Morning,,388
5606,1877.03.16,1877-03-16,UNPROVOKED,PADDLING,ITALY,Strait of Messina,Off Calabria,M,,3 ribs broken by shark's tail,N,,,387
5607,1877.03.11,1877-03-11,UNPROVOKED,,FIJI,Viti Levu Island,"Na Koro Vatu, Rewa River",M,15.0,"Thigh severely bitten, femur exposed ",N,,,386
5608,1877.02.17.R,1877-02-17,UNPROVOKED,FISHING,AUSTRALIA,Victoria,Off Melbourne,M,,Severe bite to hand,N,,,385
5609,1877.01.28,1877-01-28,UNPROVOKED,BATHING,AUSTRALIA,Victoria,Emerald Hill,M,,FATAL,Y,,,384
5610,1877.01.24.R,1877-01-24,UNPROVOKED,SWIMMING,AUSTRALIA,Victoria,Boarding School Bay,F,,Ankle injured,N,,6' SHARK,383
5611,1877.01.04,1877-01-04,INVALID,BODY FOUND FLOATING NEXT TO HIS SHIP,SOUTH AFRICA,KwaZulu-Natal,Durban,M,,"Although his body was bitten by a shark/s, bruises on his neck & face suggested foul play & a shipmate taken into custody but no charges made",Y,,,382
5612,1877.00.00,,UNPROVOKED,,INDIA,Hoogly River,Near Calcutta,,,"Thigh severely bitten, femur exposed & grooved",N,,,381
5613,1876.09.07.R,1876-09-07,UNPROVOKED,DIVING FOR SPONGES,GREECE,Cyclades archipelago,Between the islands of Tenos and Andros ,M,,FATAL,Y,,,380
5614,1876.06.04.R,1876-06-04,UNPROVOKED,BATHING,USA,Georgia,Cumberland Island,M,,Leg bitten,N,,,379
5615,1876.05.14,1876-05-14,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,Sydney Harbour,M,,FATAL,Y,,,378
5616,1876.02.06,1876-02-06,UNPROVOKED,BATHING,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,M,,"FATAL, rescued by man on horseback, but died on the beach  ",Y,,,377
5617,1876.00.00.d,,UNPROVOKED,SPONGE DIVING,LEBANON,Mount Lebanon,Batroun,M,,FATAL,Y,,,376
